,precision,recall,accuracy
0,0.7701950413620386,0.7627197039777983,0.7627197039777983
1,0.7727986493563029,0.7617946345975948,0.7617946345975948
2,0.7627118122823844,0.7548566142460684,0.7548566142460684
3,0.7447502519751114,0.7403979639055993,0.7403979639055993
4,0.7574268420808064,0.7570569180934752,0.7570569180934752
5,0.7784527206783465,0.7718648773715873,0.7718648773715873
6,0.7632794242035995,0.7639981490050902,0.7639981490050902
7,0.7525923662405338,0.7478019435446552,0.7478019435446552
8,0.7473364179255579,0.7390097177232763,0.7390097177232763
9,0.7680963549086343,0.7658491439148543,0.7658491439148543
