,precision,recall,accuracy
0,0.7533246649709578,0.7517287234042553,0.7761332099907493
1,0.7502910241342324,0.7455652517969797,0.7664199814986123
2,0.7423100220264317,0.7420612072759278,0.759481961147086
3,0.7557915892916873,0.7434290685166078,0.7695511337343822
4,0.7448075289196785,0.7393727154213849,0.7602961591855623
5,0.7435952960305747,0.7363013383109238,0.7612216566404443
6,0.7632218009691314,0.7582372436206641,0.7783433595557612
7,0.7466581506125007,0.7452375414045926,0.7667746413697363
8,0.7511759509535962,0.7477661406693665,0.7709393799167052
9,0.7521554679720713,0.7338983097719076,0.7667746413697363
