,precision,recall,accuracy
0,0.7562495090678064,0.754755289984492,0.772895467160037
1,0.746152439596934,0.7296472625571597,0.7622571692876966
2,0.7500670288989614,0.7344428682159205,0.7636447733580018
3,0.7524764266794195,0.7516521817852616,0.7704766311892642
4,0.742185626268469,0.7245134747320747,0.7616844053678853
5,0.753505087862262,0.7457848743519618,0.7700138824618232
6,0.7451302596071294,0.7295414879593012,0.7630726515502082
7,0.755043622056224,0.7467301783438788,0.7709393799167052
8,0.7639107474365006,0.7502951274142615,0.7774178621008793
9,0.7630931921552344,0.7527204572103888,0.7788061082832022
