,precision,recall,accuracy
1,0.7777188712824581,0.7385328323986851,0.7811198519204072
5,0.7777188712824581,0.7385328323986851,0.7811198519204072
15,0.7777188712824581,0.7385328323986851,0.7811198519204072
20,0.7777188712824581,0.7385328323986851,0.7811198519204072
25,0.7777188712824581,0.7385328323986851,0.7811198519204072
30,0.7777188712824581,0.7385328323986851,0.7811198519204072
