,precision,recall,accuracy
0,0.7603143520245348,0.732944636418339,0.772895467160037
1,0.7706781555140905,0.7455073149745772,0.7798334875115633
2,0.7534328054542887,0.7262361466325661,0.7668825161887142
3,0.7689165074481196,0.7454797615632032,0.7857473391948172
4,0.7624229965170656,0.7432279337477785,0.7755668671911152
5,0.7747310083523476,0.7435408896064132,0.7838963442850532
6,0.7639255108767304,0.734482366635747,0.7695511337343822
7,0.7683866405300117,0.7386652618339686,0.7764923646459972
8,0.7653610375936448,0.7367875381450715,0.7737158722813512
9,0.7616289743553926,0.7397350260749995,0.7718648773715873
