,precision,recall,accuracy
0,0.7727224960831518,0.7700791386984924,0.7941720629047179
1,0.7762581402316742,0.766838089531925,0.7913968547641073
2,0.7815039723267572,0.7747977661508776,0.7974098057354302
3,0.7913173042389416,0.7776941938468656,0.8037945395650162
4,0.7813589634534183,0.7713314820768068,0.7954650624710782
5,0.7862835182616736,0.7729895297575312,0.7977788061082832
6,0.7933759514591852,0.7828031719366697,0.8014807959278112
7,0.8014748320072556,0.7906101823502316,0.8088847755668672
8,0.7870143012119869,0.7704872753256746,0.7968533086534012
9,0.789664788961393,0.7750743753412792,0.8056455344747802
