,precision,recall,accuracy
0,0.8062648612022743,0.7925403611884455,0.8163737280296022
1,0.7727376081255731,0.7353779138651106,0.7793709528214616
2,0.7579075218491087,0.7472211811828888,0.7701202590194265
3,0.7666779427718222,0.7519636296840558,0.7797316057380842
4,0.7784378226681845,0.772028012726003,0.7936140675613143
5,0.7738995445593067,0.7620525621268468,0.7880610828320223
6,0.7519903864906101,0.7490800850460666,0.7751041184636742
7,0.7829159590884065,0.7663332493859063,0.7922258213789912
8,0.7768397446424173,0.7504042964035723,0.7875983341045812
9,0.7777188712824581,0.7385328323986851,0.7811198519204072
