,precision,recall,accuracy
0,0.7381115626927482,0.6574645645776884,0.723404255319149
1,0.6926133666997454,0.5204854992657856,0.6424606845513413
2,0.6546498277841561,0.6065137886725314,0.5046253469010176
3,0.7895940671350508,0.5340191513048455,0.6529384544192504
4,0.8206093646507362,0.5588190206987318,0.6857936140675613
5,0.7498748696558916,0.6627585063954183,0.7260527533549282
6,0.745917133529483,0.668820694158532,0.7371587228135122
7,0.7545834145074356,0.6779237860446878,0.7371587228135122
8,0.8146221414508557,0.5196187589124667,0.6658954187875983
9,0.7670845814161752,0.5481489728887157,0.6709856547894494
