,precision,recall,accuracy
0,0.7352215440459006,0.7466931068317492,0.7553191489361702
1,0.7234821921678932,0.7460010914468458,0.7197039777983348
2,0.7706858640846559,0.6415967081347407,0.7224791859389454
3,0.759552621233679,0.7356870920628709,0.7667746413697363
4,0.7640536645537928,0.6997255447534799,0.7589079130032392
5,0.7479616011240153,0.7457321137609243,0.7667746413697363
6,0.7601347575564404,0.7291502201478591,0.7663118926422953
7,0.7438258073265476,0.7426210158939075,0.7626099028227672
8,0.7464482770516387,0.7234313426080942,0.7598334104581213
9,0.7552218817185143,0.7379345188110772,0.7700138824618232
