,precision,recall,accuracy
0,0.750194689572857,0.673885904671245,0.7335800185013877
1,0.7899847946809717,0.7261460220660804,0.7798334875115633
2,0.7448562971171933,0.7321389073213891,0.7617946345975948
3,0.7584020198824859,0.7458344866790887,0.7755668671911152
4,0.7640242094166492,0.7258387646274627,0.7714021286441463
5,0.7569258442308702,0.7152300399256482,0.7607589079130033
6,0.7723354166666667,0.7420400681380537,0.7815826006478482
7,0.7525620756818528,0.7426542455428431,0.7704766311892642
8,0.762148710081992,0.6917586251814358,0.7570569180934752
9,0.7611235942680281,0.718075389013787,0.7649236464599722
